document_id,CIN,document_type,title,publisher,document_date,download_url,local_filename,file_hash,retrieved_at
DOC_0D32B70EB24C,L17111GJ1984PLC045995,COMPANY_MASTER_DATA,Company Master Data Record - NAKODA LIMITED,Ministry of Corporate Affairs (MCA),2026-08-26,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1984PLC045995,documents/NAKODA LIMITED/Company_Master_Data.pdf,afa9eb0d9fd71b3504faf67b9278270fefa2690cc72ad121b3f172a1bb7fec04,2026-08-26T17:30:00Z
DOC_77B67CD5FA0E,L17111GJ1984PLC045995,FINANCIAL_STATEMENT,Form AOC-4 Financial Statements FY 2024-25 - NAKODA LIMITED,MCA Corporate Filings,2025-03-31,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1984PLC045995,documents/NAKODA LIMITED/AOC-4_Financial_Statements_FY25.pdf,16ea943fc85a84a39d15a94c3a496d701f21d5db9af12ed8beb365d9ce369767,2026-08-26T17:30:00Z
DOC_C48A0DE0035D,L17111GJ1984PLC045995,ANNUAL_RETURN,Form MGT-7 Annual Return FY 2024-25 - NAKODA LIMITED,MCA Corporate Filings,2025-09-30,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1984PLC045995,documents/NAKODA LIMITED/MGT-7_Annual_Return_FY25.pdf,bfcefb0df29a27105697ac9d96396b7cf45e7e000dfde59517e708d90381060a,2026-08-26T17:30:00Z
DOC_C44D76DDEA8D,L17111GJ1984PLC045995,DIRECTOR_KMP_CHANGES,Form DIR-12 Director Particulars & KMP - NAKODA LIMITED,MCA Corporate Filings,2024-10-12,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1984PLC045995,documents/NAKODA LIMITED/DIR-12_Director_Records.pdf,0179f3973d628c00a35be63fcbe34706495f3bb87b09db72e52ad64fb36a6402,2026-08-26T17:30:00Z
DOC_881B644CC650,L17111GJ1984PLC045995,AUDITOR_APPOINTMENT,Form ADT-1 Auditor Appointment Resolution - NAKODA LIMITED,MCA Corporate Filings,2024-09-25,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1984PLC045995,documents/NAKODA LIMITED/ADT-1_Auditor_Appointment.pdf,fb6be74e438341836a9028be24f7a25eebe64c720afcd8af44e8685247c4e407,2026-08-26T17:30:00Z
DOC_EB7BEB6814D1,L17111GJ1984PLC045995,REGISTERED_OFFICE,Form INC-22 Registered Office Proof - NAKODA LIMITED,MCA Corporate Filings,2023-04-18,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1984PLC045995,documents/NAKODA LIMITED/INC-22_Registered_Office_Proof.pdf,c98c258db628e8360ae33b1a17998204c0dd78ae324666e02e6b436a75846481,2026-08-26T17:30:00Z
DOC_45678098D5B6,L17111GJ1984PLC045995,RESOLUTIONS_AGREEMENTS,Form MGT-14 Special Resolutions - NAKODA LIMITED,MCA Corporate Filings,2024-02-14,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1984PLC045995,documents/NAKODA LIMITED/MGT-14_Special_Resolutions.pdf,b52defcf566f21b78f624f078313c5fb89160a216ed77bd2a6d39ce85788e46d,2026-08-26T17:30:00Z
DOC_1F01761D7D24,L17111GJ1984PLC045995,GST_TAXPAYER_DATA,GST Public Taxpayer Registration - NAKODA LIMITED,GST Council Public Portal,2026-01-15,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1984PLC045995,documents/NAKODA LIMITED/GST_Place_of_Business_Registration.pdf,5299a49148880f9e9273d8667b73f4b5d21dbca7bd96d6f63ad435e4049655ac,2026-08-26T17:30:00Z
DOC_FC01B82E5434,L17111GJ1986PLC048202,COMPANY_MASTER_DATA,Company Master Data Record - RECRON SYNTHETICS LIMITED.,Ministry of Corporate Affairs (MCA),2026-08-26,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1986PLC048202,documents/RECRON SYNTHETICS LIMITED./Company_Master_Data.pdf,56cbc683658e27b34a6cdb2df69b01a98f18e4ef8c93ddd8beecbdb1caa931cf,2026-08-26T17:30:00Z
DOC_7E9E17495393,L17111GJ1986PLC048202,FINANCIAL_STATEMENT,Form AOC-4 Financial Statements FY 2024-25 - RECRON SYNTHETICS LIMITED.,MCA Corporate Filings,2025-03-31,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1986PLC048202,documents/RECRON SYNTHETICS LIMITED./AOC-4_Financial_Statements_FY25.pdf,c43ceff3b97a9350b9b39aaac366f6b2eb86aaca5254e01935c365b2fd8aa201,2026-08-26T17:30:00Z
