company_id,CIN,field,expected_category,reason_missing,retrieved_at,notes
COMP_L17111GJ1984PLC045995,L17111GJ1984PLC045995,pan,Private / Restricted / Paid,Not available in free public filings (Rule No. 1 compliance),2026-08-26T17:30:00Z,Free data rule enforced
COMP_L17111GJ1984PLC045995,L17111GJ1984PLC045995,bank_statement_private,Private / Restricted / Paid,Not available in free public filings (Rule No. 1 compliance),2026-08-26T17:30:00Z,Free data rule enforced
COMP_L17111GJ1984PLC045995,L17111GJ1984PLC045995,paid_mca_chg1,Private / Restricted / Paid,Not available in free public filings (Rule No. 1 compliance),2026-08-26T17:30:00Z,Free data rule enforced
COMP_L17111GJ1986PLC048202,L17111GJ1986PLC048202,pan,Private / Restricted / Paid,Not available in free public filings (Rule No. 1 compliance),2026-08-26T17:30:00Z,Free data rule enforced
COMP_L17111GJ1986PLC048202,L17111GJ1986PLC048202,bank_statement_private,Private / Restricted / Paid,Not available in free public filings (Rule No. 1 compliance),2026-08-26T17:30:00Z,Free data rule enforced
COMP_L17111GJ1986PLC048202,L17111GJ1986PLC048202,paid_mca_chg1,Private / Restricted / Paid,Not available in free public filings (Rule No. 1 compliance),2026-08-26T17:30:00Z,Free data rule enforced
COMP_L17119GJ1982PLC005424,L17119GJ1982PLC005424,pan,Private / Restricted / Paid,Not available in free public filings (Rule No. 1 compliance),2026-08-26T17:30:00Z,Free data rule enforced
COMP_L17119GJ1982PLC005424,L17119GJ1982PLC005424,bank_statement_private,Private / Restricted / Paid,Not available in free public filings (Rule No. 1 compliance),2026-08-26T17:30:00Z,Free data rule enforced
COMP_L17119GJ1982PLC005424,L17119GJ1982PLC005424,paid_mca_chg1,Private / Restricted / Paid,Not available in free public filings (Rule No. 1 compliance),2026-08-26T17:30:00Z,Free data rule enforced
COMP_L17119GJ1982PLC009258,L17119GJ1982PLC009258,pan,Private / Restricted / Paid,Not available in free public filings (Rule No. 1 compliance),2026-08-26T17:30:00Z,Free data rule enforced
COMP_L17119GJ1982PLC009258,L17119GJ1982PLC009258,bank_statement_private,Private / Restricted / Paid,Not available in free public filings (Rule No. 1 compliance),2026-08-26T17:30:00Z,Free data rule enforced
COMP_L17119GJ1982PLC009258,L17119GJ1982PLC009258,paid_mca_chg1,Private / Restricted / Paid,Not available in free public filings (Rule No. 1 compliance),2026-08-26T17:30:00Z,Free data rule enforced
COMP_L17119GJ1986PLC009009,L17119GJ1986PLC009009,pan,Private / Restricted / Paid,Not available in free public filings (Rule No. 1 compliance),2026-08-26T17:30:00Z,Free data rule enforced
COMP_L17119GJ1986PLC009009,L17119GJ1986PLC009009,bank_statement_private,Private / Restricted / Paid,Not available in free public filings (Rule No. 1 compliance),2026-08-26T17:30:00Z,Free data rule enforced
