company_id,CIN,field,expected_category,reason_missing,retrieved_at,notes
COMP_U72900MH2021PTC368492,U72900MH2021PTC368492,roc,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U72900MH2021PTC368492,U72900MH2021PTC368492,registration_date,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U72900MH2021PTC368492,U72900MH2021PTC368492,registered_office_address,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U72900MH2021PTC368492,U72900MH2021PTC368492,authorized_capital,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U72900MH2021PTC368492,U72900MH2021PTC368492,paid_up_capital,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U72900MH2021PTC368492,U72900MH2021PTC368492,principal_activity,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U72900MH2021PTC368492,U72900MH2021PTC368492,directors,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U72900MH2021PTC368492,U72900MH2021PTC368492,auditors,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U72900MH2021PTC368492,U72900MH2021PTC368492,gstin,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U72900MH2021PTC368492,U72900MH2021PTC368492,pan,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U01403MH2015PTC261942,U01403MH2015PTC261942,roc,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U01403MH2015PTC261942,U01403MH2015PTC261942,registration_date,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U01403MH2015PTC261942,U01403MH2015PTC261942,registered_office_address,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U01403MH2015PTC261942,U01403MH2015PTC261942,authorized_capital,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U01403MH2015PTC261942,U01403MH2015PTC261942,paid_up_capital,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U01403MH2015PTC261942,U01403MH2015PTC261942,principal_activity,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U01403MH2015PTC261942,U01403MH2015PTC261942,directors,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
COMP_U01403MH2015PTC261942,U01403MH2015PTC261942,auditors,Corporate / Financial / Compliance,Not available in free public filings,2026-08-26T15:00:00Z,Verified absence across free public sources
