source_type,source_id,source_name,edge_type,target_type,target_id,target_name,start_date,end_date,source_url,source_page,confidence
COMPANY,U72900MH2021PTC368492,Adafoa technology Pvt ltd,REGISTERED_AT,ADDRESS,ADDR_D38D0E0DCB,Registered Address for Adafoa technology Pvt ltd,,,https://api.data.gov.in,1,HIGH
COMPANY,U01403MH2015PTC261942,BAGLAN FARMERS PRODUCER COMPANY LIMITED-20260803T053634Z-1-001,REGISTERED_AT,ADDRESS,ADDR_AE13E374C8,Registered Address for BAGLAN FARMERS PRODUCER COMPANY LIMITED-20260803T053634Z-1-001,,,https://api.data.gov.in,1,HIGH
COMPANY,U65993MH1982PTC027783,BALBIR HOLDINGS PRIVATE LIMITED,REGISTERED_AT,ADDRESS,ADDR_966CCB2143,Registered Address for BALBIR HOLDINGS PRIVATE LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,U24110MH1998PTC113702,DOW CHEMICAL INTERNATIONAL PRIVATE LIMITED,REGISTERED_AT,ADDRESS,ADDR_F268CDB51C,Registered Address for DOW CHEMICAL INTERNATIONAL PRIVATE LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,U74999MH2019PTC324789,Digivolution consultancy Pvt lt,REGISTERED_AT,ADDRESS,ADDR_B2CB64B8BD,Registered Address for Digivolution consultancy Pvt lt,,,https://api.data.gov.in,1,HIGH
COMPANY,L05004GJ1985PLC008318,GUJARAT REFRACTORIES LIMITED,REGISTERED_AT,ADDRESS,ADDR_BF33BE56C9,Registered Address for GUJARAT REFRACTORIES LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L11711GJ1984PLC007048,ANJANI SYNTHETICS LIMITED,REGISTERED_AT,ADDRESS,ADDR_6CA7B82321,Registered Address for ANJANI SYNTHETICS LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L15142GJ1983PLC006574,PRASHANT INDIA LIMITED,REGISTERED_AT,ADDRESS,ADDR_B1FF7217C4,Registered Address for PRASHANT INDIA LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L15142GJ1986PLC008598,M RAVJI OIL INDUSTRIES LIMITED,REGISTERED_AT,ADDRESS,ADDR_62AC44F4CF,Registered Address for M RAVJI OIL INDUSTRIES LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L15200GJ1986PLC009146,DHARNENDRA INDUSTRIES LIMITED,REGISTERED_AT,ADDRESS,ADDR_AECDDE2414,Registered Address for DHARNENDRA INDUSTRIES LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L15400GJ1985PLC007773,RAJHANS FOOD LIMITED,REGISTERED_AT,ADDRESS,ADDR_84A3AABB94,Registered Address for RAJHANS FOOD LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L15419GJ1982PLC005071,SHAH FOODS LIMITED,REGISTERED_AT,ADDRESS,ADDR_21E951F450,Registered Address for SHAH FOODS LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L17100GJ1983PLC028990,AARNAV FASHIONS LIMITED,REGISTERED_AT,ADDRESS,ADDR_A24E97E75F,Registered Address for AARNAV FASHIONS LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L17110GJ1982PLC004960,GSL (INDIA) LIMITED,REGISTERED_AT,ADDRESS,ADDR_30F6A64A71,Registered Address for GSL (INDIA) LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L17110GJ1983PLC006309,SANRHEA TECHNICAL TEXTILES LIMITED,REGISTERED_AT,ADDRESS,ADDR_163A5AABA1,Registered Address for SANRHEA TECHNICAL TEXTILES LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L17110GJ1983PLC006462,JAYATMA INDUSTRIES LIMITED,REGISTERED_AT,ADDRESS,ADDR_AEBDB42C6D,Registered Address for JAYATMA INDUSTRIES LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L17110GJ1984PLC007124,GUJARAT RAFFIA INDUSTRIES LIMITED,REGISTERED_AT,ADDRESS,ADDR_13F6B8D3DE,Registered Address for GUJARAT RAFFIA INDUSTRIES LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L17110GJ1984PLC007266,GUJARAT FILAMENTS LIMITED,REGISTERED_AT,ADDRESS,ADDR_792F3C75BB,Registered Address for GUJARAT FILAMENTS LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L17110GJ1985PLC007799,ADITYA POLYMERS LIMITED,REGISTERED_AT,ADDRESS,ADDR_1152ADAA82,Registered Address for ADITYA POLYMERS LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L17110GJ1985PLC007948,DHANENDRA OVERSAS LIMITED,REGISTERED_AT,ADDRESS,ADDR_AC3E70A38A,Registered Address for DHANENDRA OVERSAS LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L17110GJ1985PLC008206,VISHAL FABRICS LIMITED,REGISTERED_AT,ADDRESS,ADDR_77F5E47039,Registered Address for VISHAL FABRICS LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L17110GJ1985PLC033271,WELSPUN INDIA LIMITED,REGISTERED_AT,ADDRESS,ADDR_D830704277,Registered Address for WELSPUN INDIA LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L17110GJ1986PLC008886,ARVIND PRODUCTS LIMITED,REGISTERED_AT,ADDRESS,ADDR_ADD4926888,Registered Address for ARVIND PRODUCTS LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L17110GJ1986PLC008942,JINDAL WORLDWIDE LIMITED,REGISTERED_AT,ADDRESS,ADDR_2DE398A6B7,Registered Address for JINDAL WORLDWIDE LIMITED,,,https://api.data.gov.in,1,HIGH
COMPANY,L17110GJ1986PLC009099,KIRAN SYNTEX LIMITED,REGISTERED_AT,ADDRESS,ADDR_97BAAD0BD4,Registered Address for KIRAN SYNTEX LIMITED,,,https://api.data.gov.in,1,HIGH
AUDITOR,AUD_256289F460,M/s Shah & Associates,AUDITED_BY,COMPANY,L11711GJ1984PLC007048,ANJANI SYNTHETICS LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=514330,1,HIGH
AUDITOR,AUD_10711C1B42,M/s Mehta & Co,AUDITED_BY,COMPANY,L15142GJ1983PLC006574,PRASHANT INDIA LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=514014,1,HIGH
AUDITOR,AUD_F17D10521E,M/s Patel & Shah,AUDITED_BY,COMPANY,L15142GJ1986PLC008598,M RAVJI OIL INDUSTRIES LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=519349,1,HIGH
AUDITOR,AUD_6FAE84D821,M/s Desai & Co,AUDITED_BY,COMPANY,L15200GJ1986PLC009146,DHARNENDRA INDUSTRIES LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=519479,1,HIGH
AUDITOR,AUD_151F8F9944,M/s Joshi & Associates,AUDITED_BY,COMPANY,L15400GJ1985PLC007773,RAJHANS FOOD LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=519280,1,HIGH
AUDITOR,AUD_B1E760B1C0,M/s Parikh & Co,AUDITED_BY,COMPANY,L15419GJ1982PLC005071,SHAH FOODS LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=519031,1,HIGH
AUDITOR,AUD_2DA6BBB553,M/s Trivedi & Co,AUDITED_BY,COMPANY,L17100GJ1983PLC028990,AARNAV FASHIONS LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=539513,1,HIGH
AUDITOR,AUD_1DF5EBDF3F,M/s Bhatt & Associates,AUDITED_BY,COMPANY,L17110GJ1982PLC004960,GSL (INDIA) LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=503903,1,HIGH
AUDITOR,AUD_E0043333C2,M/s Shah & Shah,AUDITED_BY,COMPANY,L17110GJ1983PLC006309,SANRHEA TECHNICAL TEXTILES LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=530073,1,HIGH
AUDITOR,AUD_5CC87C0322,M/s C. P. Shah & Co,AUDITED_BY,COMPANY,L17110GJ1983PLC006462,JAYATMA INDUSTRIES LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=521131,1,HIGH
AUDITOR,AUD_E5AA1FF191,M/s V. M. Patel & Co,AUDITED_BY,COMPANY,L17110GJ1984PLC007124,GUJARAT RAFFIA INDUSTRIES LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=523836,1,HIGH
AUDITOR,AUD_C2A6B29B53,M/s K. B. Associates,AUDITED_BY,COMPANY,L17110GJ1984PLC007266,GUJARAT FILAMENTS LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=514138,1,HIGH
AUDITOR,AUD_2EEB60940A,M/s R. S. Sharma & Co,AUDITED_BY,COMPANY,L17110GJ1985PLC007799,ADITYA POLYMERS LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=514332,1,HIGH
AUDITOR,AUD_7F4D7A5227,M/s N. M. Shah & Co,AUDITED_BY,COMPANY,L17110GJ1985PLC007948,DHANENDRA OVERSAS LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=521151,1,HIGH
AUDITOR,AUD_F0C50DA316,M/s Naresh & Co,AUDITED_BY,COMPANY,L17110GJ1985PLC008206,VISHAL FABRICS LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=538598,1,HIGH
AUDITOR,AUD_A80B1E82E1,M/s Price Waterhouse Chartered Accountants LLP,AUDITED_BY,COMPANY,L17110GJ1985PLC033271,WELSPUN INDIA LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=514162,1,HIGH
AUDITOR,AUD_767606C461,M/s Sorab S. Engineer & Co,AUDITED_BY,COMPANY,L17110GJ1986PLC008886,ARVIND PRODUCTS LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=532297,1,HIGH
AUDITOR,AUD_11455E4C29,M/s Saremal & Co,AUDITED_BY,COMPANY,L17110GJ1986PLC008942,JINDAL WORLDWIDE LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=531543,1,HIGH
AUDITOR,AUD_B703999B95,M/s Swamy & Associates,AUDITED_BY,COMPANY,L17110GJ1986PLC009099,KIRAN SYNTEX LIMITED,2024-04-01,2025-03-31,https://www.bseindia.com/bseplus/StockReach/StockReach.aspx?scripcode=530443,1,HIGH
COMPANY,L17111GJ1984PLC045995,NAKODA LIMITED,REGISTERED_AT,ADDRESS,ADDR_89874CB91B,"Industrial Area, Phase II, Gujarat, India - 380002",2023-04-18,,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1984PLC045995,1,HIGH
AUDITOR,AUD_589E05302E,M/s R. K. Patel & Co Chartered Accountants,AUDITED_BY,COMPANY,L17111GJ1984PLC045995,NAKODA LIMITED,2024-04-01,2025-03-31,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1984PLC045995,1,HIGH
COMPANY,L17111GJ1986PLC048202,RECRON SYNTHETICS LIMITED.,REGISTERED_AT,ADDRESS,ADDR_BBB2492485,"Industrial Area, Phase II, Gujarat, India - 380002",2023-04-18,,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1986PLC048202,1,HIGH
AUDITOR,AUD_66F12E7D4F,M/s R. K. Patel & Co Chartered Accountants,AUDITED_BY,COMPANY,L17111GJ1986PLC048202,RECRON SYNTHETICS LIMITED.,2024-04-01,2025-03-31,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17111GJ1986PLC048202,1,HIGH
COMPANY,L17119GJ1982PLC005424,RAGHUVIR SYNTHETICS LIMITED,REGISTERED_AT,ADDRESS,ADDR_E7111422A4,"Industrial Area, Phase II, Gujarat, India - 380002",2023-04-18,,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1982PLC005424,1,HIGH
AUDITOR,AUD_BE4405CFE4,M/s R. K. Patel & Co Chartered Accountants,AUDITED_BY,COMPANY,L17119GJ1982PLC005424,RAGHUVIR SYNTHETICS LIMITED,2024-04-01,2025-03-31,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1982PLC005424,1,HIGH
COMPANY,L17119GJ1982PLC009258,AMBASSADOR INTRA HOLDINGS LIMITED,REGISTERED_AT,ADDRESS,ADDR_FAFE3ABDE8,"Industrial Area, Phase II, Gujarat, India - 380002",2023-04-18,,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1982PLC009258,1,HIGH
AUDITOR,AUD_F6768FCC63,M/s R. K. Patel & Co Chartered Accountants,AUDITED_BY,COMPANY,L17119GJ1982PLC009258,AMBASSADOR INTRA HOLDINGS LIMITED,2024-04-01,2025-03-31,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1982PLC009258,1,HIGH
COMPANY,L17119GJ1986PLC009009,BISIL PLAST LIMITED,REGISTERED_AT,ADDRESS,ADDR_FDACB87CED,"Industrial Area, Phase II, Gujarat, India - 380002",2023-04-18,,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1986PLC009009,1,HIGH
AUDITOR,AUD_3793D949BC,M/s R. K. Patel & Co Chartered Accountants,AUDITED_BY,COMPANY,L17119GJ1986PLC009009,BISIL PLAST LIMITED,2024-04-01,2025-03-31,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1986PLC009009,1,HIGH
COMPANY,L17119GJ1986PLC009152,BAHUMA POLYTEX LIMITED,REGISTERED_AT,ADDRESS,ADDR_40353E8EB6,"Industrial Area, Phase II, Gujarat, India - 380002",2023-04-18,,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1986PLC009152,1,HIGH
AUDITOR,AUD_A50AB4A4AF,M/s R. K. Patel & Co Chartered Accountants,AUDITED_BY,COMPANY,L17119GJ1986PLC009152,BAHUMA POLYTEX LIMITED,2024-04-01,2025-03-31,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17119GJ1986PLC009152,1,HIGH
COMPANY,L17239GJ1985PLC007829,SHRI JAGDAMBA POLYMERS LIMITED,REGISTERED_AT,ADDRESS,ADDR_DB82DA7CB7,"Industrial Area, Phase II, Gujarat, India - 380002",2023-04-18,,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17239GJ1985PLC007829,1,HIGH
AUDITOR,AUD_6898794D1B,M/s R. K. Patel & Co Chartered Accountants,AUDITED_BY,COMPANY,L17239GJ1985PLC007829,SHRI JAGDAMBA POLYMERS LIMITED,2024-04-01,2025-03-31,https://www.mca.gov.in/mcafast/companyMasterData.do?cin=L17239GJ1985PLC007829,1,HIGH
